"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2006,1377297.32456756,1145501.09925259,1655998.34124878,14.1356336763838,0.0940226133415037,"index",0.8,6
2007,1253861.48813286,1049704.71861218,1497724.64917688,14.0417385380399,0.0906746640383275,"index",0.8,6
2008,1178360.77166589,981073.894469555,1415320.61552996,13.9796348540872,0.0934873263819252,"index",0.8,6
2009,1114619.77360281,927005.15102452,1340205.32500096,13.9240238944975,0.0940371837227394,"index",0.8,6
2010,1121757.48097883,937439.430176015,1342315.89330064,13.930407192841,0.0915831960840182,"index",0.8,6
2011,1221511.11825729,1020761.25676161,1461741.81488811,14.015599271773,0.0916037417708508,"index",0.8,6
2012,1210468.94090811,1009739.24852772,1451102.40989407,14.0065183969626,0.0925097158322498,"index",0.8,6
2013,1255370.5314211,1033356.69160435,1525083.43340162,14.0429413311323,0.0992968990028499,"index",0.8,6
2014,1222208.80321315,1020709.47530364,1463486.32475205,14.0161702741769,0.0919209577864254,"index",0.8,6
2015,1450873.97775465,1213433.50049728,1734775.98769354,14.1876766760991,0.0911813556863831,"index",0.8,6
2016,1536557.3753154,1283750.6649779,1839148.85658642,14.245055001421,0.0917151767163741,"index",0.8,6
2017,1603265.95259963,1343955.65322134,1912609.02739165,14.2875533271251,0.0900146763465801,"index",0.8,6
2018,1685273.38162131,1414326.84838427,2008125.89681509,14.3374383528941,0.0894272057720952,"index",0.8,6
2019,1708799.5192672,1362723.05918535,2142765.38241998,14.3513016464203,0.115464438592635,"index",0.8,6
2021,1736586.48482758,1447764.69788408,2083026.7678811,14.3674319540307,0.0928081424983961,"index",0.8,6
2022,1878285.06682526,1547199.16015559,2280220.20895098,14.4458697200027,0.0989369502026073,"index",0.8,6
2023,2049216.95222355,1702315.41015975,2466810.8461089,14.5329683036186,0.0946284813229358,"index",0.8,6
2024,1916139.55986258,1600694.6504103,2293748.41224666,14.465823074037,0.0917745560418757,"index",0.8,6
2003,1363415.75705777,1109522.72528188,1675407.3478947,14.125503695023,0.105136213241728,"index",0.8,7
2004,1298863.2019209,1044448.93897426,1615249.49123989,14.0769999798077,0.11122653699724,"index",0.8,7
2005,1471816.50086357,1214452.03608019,1783721.17453574,14.2020079107609,0.0980652595465042,"index",0.8,7
2006,1403065.38084401,1165774.14699915,1688656.81915349,14.1541699587429,0.0945293036226338,"index",0.8,7
2007,1325180.26468837,1108935.49117904,1583593.22781924,14.0970590569701,0.0908934869179013,"index",0.8,7
2008,1180797.41599178,980514.539826753,1421990.68038219,13.9817005444721,0.0948322481624771,"index",0.8,7
2009,1122136.02144498,933165.754146616,1349373.61881213,13.9307445889513,0.094086661376436,"index",0.8,7
2010,1054119.85458451,877592.565440364,1266155.51633771,13.8682167156455,0.0935114117663278,"index",0.8,7
2011,1154676.73425933,962752.977292617,1384860.28304908,13.9593309790051,0.092746007721977,"index",0.8,7
2012,1137262.75203792,946668.1346895,1366230.17061526,13.9441348384166,0.0935889473822163,"index",0.8,7
2013,1341515.3172496,1101968.14102291,1633135.55031159,14.1093103667846,0.100360011817352,"index",0.8,7
2014,1248960.10036213,1043001.33107866,1495589.01395012,14.0378218433309,0.0919449717282278,"index",0.8,7
2015,1312082.85468385,1095714.05611863,1571177.6333815,14.0871263979281,0.0919453544050519,"index",0.8,7
2016,1446439.50467034,1208770.46004914,1730839.15418146,14.1846155806574,0.0915839933025451,"index",0.8,7
2017,1524073.02211954,1272368.89101554,1825570.07889328,14.2368969288575,0.0920965593161016,"index",0.8,7
2018,1703578.60512875,1429645.05369644,2030000.42307608,14.3482416583287,0.0894429196066413,"index",0.8,7
2019,1583995.76857679,1258308.58822599,1993980.34659092,14.2754611799999,0.117442052505928,"index",0.8,7
2021,1749621.51800612,1455775.49806981,2102779.90001122,14.3749100470837,0.0938082248296261,"index",0.8,7
2022,1765705.54434924,1462122.85672529,2132321.54535111,14.384060910315,0.0962573612137884,"index",0.8,7
2023,2000380.49486168,1659190.10461206,2411732.15359711,14.5088479678603,0.0954139039528547,"index",0.8,7
2024,1897772.73994518,1585016.85444149,2272241.68776938,14.4561915143893,0.0918822574576942,"index",0.8,7
2003,1210911.66401186,989485.611625557,1481888.20616713,14.0068840752106,0.103034328150928,"index",0.8,8
2004,1343877.70559606,1083736.54724495,1666463.39665238,14.1110698030651,0.109769572765467,"index",0.8,8
2005,1432167.74840069,1183375.62520915,1733265.76605512,14.17469976238,0.0973579882726949,"index",0.8,8
2006,1350296.22203005,1124164.34359401,1621915.77914619,14.1158345500707,0.0935139827092921,"index",0.8,8
2007,1278223.28425294,1070168.92615426,1526726.03780207,14.0609816124719,0.0906417388204688,"index",0.8,8
