species_name,effort_level,approximate_stations_per_year,replicate,end_year_SSB,end_year_SSB_SD,ssb_cv,relative_error,MARE,cv_difference_from_reference,OFL_sigma
Sablefish,0.8,301,1,63673.7,7367.82,0.115712139,0.041605877,0.041605877,0.005407103,0.123722957
Sablefish,0.8,301,2,62494.4,7157.77,0.114534582,0.011910619,0.011910619,0.004229547,0.123141252
Sablefish,0.8,301,3,61156.5,6957.78,0.113770082,-0.016362433,0.016362433,0.003465046,0.121500535
Sablefish,1,376,1,64126.9,7073.52,0.110305036,0,0,0,0.119808451
Shortspine_thornyhead,0.2,75,1,5923.48,1001.2,0.169022264,0.019738852,0.019738852,0.012914418,0.200718123
Shortspine_thornyhead,0.2,75,2,6409.39,1100,0.171623197,0.120368296,0.120368296,0.015515351,0.201576676
Shortspine_thornyhead,0.2,75,3,9352.65,2406.66,0.25732386,1.451223238,1.451223238,0.101216015,0.279909749
Shortspine_thornyhead,0.4,150,1,7189.93,1338.19,0.186120032,0.362968772,0.362968772,0.030012186,0.211303653
Shortspine_thornyhead,0.4,150,2,6816.5,1158.08,0.16989364,0.179523742,0.179523742,0.013785795,0.195962285
Shortspine_thornyhead,0.4,150,3,6250.26,1019.77,0.163156413,0.038652706,0.038652706,0.007048567,0.189949499
Shortspine_thornyhead,0.6,226,1,6776.94,1118.95,0.165111392,0.139669186,0.139669186,0.009003547,0.190100095
Shortspine_thornyhead,0.6,226,2,6310.97,1014.75,0.160791447,0.033539753,0.033539753,0.004683602,0.185923476
Shortspine_thornyhead,0.6,226,3,6874.48,1148.31,0.167039543,0.169572834,0.169572834,0.010931698,0.191481885
Shortspine_thornyhead,0.8,301,1,6602.94,1067.77,0.161711298,0.087541505,0.087541505,0.005603453,0.186301212
Shortspine_thornyhead,0.8,301,2,7500.55,1371.11,0.182801261,0.39649834,0.39649834,0.026693416,0.204424679
Shortspine_thornyhead,0.8,301,3,6422.15,1028.69,0.160178445,0.047737875,0.047737875,0.004070599,0.184984021
Shortspine_thornyhead,1,376,1,6289.37,981.82,0.156107845,0,0,0,0.18010179
Yellowtail_rockfish,0.2,75,1,8.95618,1.48016,0.165266888,0.005516154,0.005516154,0.00804469,0.188476137
Yellowtail_rockfish,0.2,75,2,9.35881,1.51477,0.161854979,0.029027744,0.029027744,0.004632781,0.184412065
Yellowtail_rockfish,0.2,75,3,9.45208,1.52374,0.161206845,0.035121328,0.035121328,0.003984647,0.184081156
Yellowtail_rockfish,0.4,150,1,9.49635,1.49619,0.157554218,0.016405804,0.016405804,0.00033202,0.180738956
Yellowtail_rockfish,0.4,150,2,9.43512,1.50063,0.159047262,0.019422027,0.019422027,0.001825063,0.181836855
Yellowtail_rockfish,0.4,150,3,9.34128,1.51614,0.16230538,0.029958425,0.029958425,0.005083182,0.185835505
Yellowtail_rockfish,0.6,226,1,8.92756,1.45226,0.162671547,-0.013437135,0.013437135,0.005449349,0.189929475
Yellowtail_rockfish,0.6,226,2,8.98953,1.46161,0.162590258,-0.007085405,0.007085405,0.005368059,0.186767258
Yellowtail_rockfish,0.6,226,3,9.19643,1.45482,0.158193995,-0.011698052,0.011698052,0.000971796,0.185435406
Yellowtail_rockfish,0.8,301,1,9.29629,1.47345,0.158498713,0.000957854,0.000957854,0.001276514,0.185956075
Yellowtail_rockfish,0.8,301,2,9.14656,1.46402,0.160062362,-0.005448222,0.005448222,0.002840164,0.188232949
Yellowtail_rockfish,0.8,301,3,9.16587,1.45851,0.159124011,-0.009191326,0.009191326,0.001901813,0.186876518
Yellowtail_rockfish,1,376,1,9.3628,1.47204,0.157222198,0,0,0,0.184995626
