term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-2.28546861288755,0.981284694963026,-4.20875127359546,-0.362185952179647
factor(Year)2004,-0.965628403021849,0.950753347202234,-2.82907072171913,0.897813915675435
factor(Year)2005,-1.90379668832884,0.959003151060561,-3.78340832546796,-0.0241850511897119
factor(Year)2006,-3.09206034474564,1.04426852975916,-5.13878905326219,-1.0453316362291
factor(Year)2007,-2.52240586451121,0.970964427063833,-4.42546117182589,-0.619350557196529
factor(Year)2008,-2.77397831552139,1.03163357576547,-4.79594296926398,-0.752013661778795
factor(Year)2009,-2.2251428154128,0.960451240278321,-4.10759265526514,-0.34269297556047
factor(Year)2010,-2.16052032132352,0.940352725802193,-4.00357779665988,-0.31746284598715
factor(Year)2011,-2.60979794692938,0.977194563083683,-4.52506409646176,-0.69453179739701
factor(Year)2012,-2.28967092542105,0.986782019584059,-4.2237281443975,-0.355613706444593
factor(Year)2013,-3.21879474634885,1.13115646952076,-5.43582068748902,-1.00176880520869
factor(Year)2014,-1.59562888430932,0.91562456998345,-3.39022006483686,0.198962296218213
factor(Year)2015,-1.07936275018856,0.914291396609913,-2.87134095891881,0.712615458541698
factor(Year)2016,-1.77835177801724,0.949075409254998,-3.63850539876964,0.0818018427351732
factor(Year)2017,-2.5018824225781,0.969115870714524,-4.40131462602474,-0.60245021913146
factor(Year)2018,-1.68834300133681,0.952709201329056,-3.55561872368167,0.178932721008063
factor(Year)2019,-1.83697301079408,1.01155043861787,-3.81957543903079,0.145629417442628
factor(Year)2021,-2.02306528321613,0.949434008317986,-3.88392174521688,-0.162208821215372
factor(Year)2022,-2.5744709976172,1.00350883838252,-4.54131217901456,-0.607629816219843
factor(Year)2023,-2.16003557247713,0.942071579373149,-4.00646193890726,-0.313609206046988
factor(Year)2024,-1.98870565814125,0.942510994541328,-3.83599326247528,-0.141418053807219
Pass,-0.0713444587123538,0.213973308781288,-0.490724437576546,0.348035520151838
factor(Year)2003,-1.32271583805998,0.918935231135437,-3.12379579521042,0.478364119090467
factor(Year)2004,-1.90566864805413,0.959611878091593,-3.78647336825049,-0.0248639278577691
factor(Year)2005,-2.13580710500931,0.889163883915159,-3.87853629383678,-0.393077916181846
factor(Year)2006,-2.62090131094147,0.965130997174001,-4.51252330576574,-0.729279316117198
factor(Year)2007,-2.34977614055125,0.917786829698334,-4.14860527224518,-0.550947008857324
factor(Year)2008,-2.60214603643774,0.951436358885173,-4.4669270334346,-0.737365039440871
factor(Year)2009,-3.87571009976107,1.09987869143196,-6.03143272233075,-1.71998747719139
